,years_exp
1965,5
4392,2
6178,0
3649,0
1321,3
392,0
3159,3
291,6
4748,0
5984,0
3648,3
4030,2
2297,3
3408,3
5952,0
3162,3
6294,0
3701,3
1874,5
5890,0
3627,1
773,4
5144,1
5003,1
701,9
6305,0
3071,0
5637,1
1042,7
4174,2
1811,5
3037,4
3868,3
6303,0
3617,0
4110,2
5409,1
6105,0
5910,0
4820,2
943,8
3785,3
2764,0
2476,4
6665,0
6022,0
5953,0
1922,5
1595,1
1103,7
6586,0
2243,5
3090,
3476,3
6625,0
6587,0
896,8
4762,0
600,9
854,8
89,11
6189,0
57,15
4498,2
1308,7
1405,6
4151,2
905,8
5118,1
3454,0
3902,2
1197,7
3739,3
3043,4
2278,5
6691,0
4864,2
801,8
310,11
2713,0
461,18
2045,1
6262,0
1108,11
802,4
5902,0
1475,6
2,11
316,10
4107,2
6079,0
5349,1
6528,0
453,10
1536,6
3600,3
5038,1
2692,1
888,8
6612,0
4208,2
2147,5
1503,2
2040,5
1803,5
2172,5
4661,2
1306,8
6216,0
4082,2
426,7
2712,1
4418,2
883,8
1872,5
6486,0
6653,0
6157,0
1159,7
5400,1
3471,3
6080,0
5994,0
5766,1
3765,3
4215,2
163,2
4147,2
5608,1
2869,5
2964,4
5342,1
5005,1
1831,5
1509,6
1428,6
2620,1
2579,4
3990,2
4387,2
622,9
5443,1
2238,5
6645,0
6698,0
3528,3
4813,2
1959,5
3539,0
157,7
2328,4
2427,4
4799,2
1703,7
5572,1
1457,6
3635,0
6609,0
918,8
6369,0
179,13
5915,0
430,8
5310,1
3226,3
5787,1
5838,0
2208,5
2730,0
1163,5
2059,1
2517,4
45,9
6436,0
1055,7
2402,4
3753,0
2308,4
5178,1
4607,2
4733,2
2637,1
5894,0
890,8
2703,0
6356,0
6019,0
6549,0
1052,7
2315,4
3556,0
5849,0
274,10
1430,6
3241,3
142,16
6246,0
5367,1
4344,2
4711,2
2428,4
1937,5
6306,0
1135,4
4299,2
1941,1
1486,6
4017,2
2322,4
1607,2
4524,2
3158,0
3565,3
6404,0
1841,1
2491,4
3887,0
5854,0
5704,0
5936,0
865,8
6125,0
3251,3
6718,5
5371,1
3222,3
2187,5
11,7
432,6
352,6
925,8
4177,2
6644,0
6114,0
5711,1
1396,3
2484,2
6175,0
2542,4
3629,3
4277,2
6580,0
5109,0
519,5
421,10
5718,1
4511,2
5640,1
1079,7
6607,0
5698,0
5917,0
881,5
4002,0
2583,4
1589,6
1164,7
539,7
1839,1
218,11
3120,0
2778,4
5280,1
5468,1
637,7
6003,0
5743,1
5411,1
2092,2
1401,6
3056,0
4407,2
5938,0
871,8
2947,
4830,2
3500,3
4066,2
4469,2
40,11
826,8
2895,1
5535,1
4879,2
5593,0
2181,5
4486,2
4348,2
6026,0
1810,1
3190,3
4512,2
4279,2
5314,1
5057,1
3479,3
4090,2
1999,5
